flowA.0	2015-09-13 11:38:10.705655	116.09497	39.753047	70	2.615814
flowB.0	2015-09-13 11:38:10.705655	116.095333	39.752818	70	1.9294092
flowC.0	2015-09-13 11:38:10.705655	116.095395	39.752457	70	3.4794468
flowD.0	2015-09-13 11:38:10.705655	116.095082	39.752172	70	3.2778396
flowE.0	2015-09-13 11:38:10.705655	116.09463	39.752061	70	1.813914
flowA.0	2015-09-13 11:38:11.705655	116.094979	39.753043	70	3.0350484
flowB.0	2015-09-13 11:38:11.705655	116.095338	39.752811	70	2.9897748
flowC.0	2015-09-13 11:38:11.705655	116.095391	39.752449	70	3.4451676
flowD.0	2015-09-13 11:38:11.705655	116.095074	39.752169	70	2.5791336
flowE.0	2015-09-13 11:38:11.705655	116.094619	39.752061	70	3.227094
flowA.0	2015-09-13 11:38:12.705655	116.094989	39.75304	70	3.2748084
flowB.0	2015-09-13 11:38:12.705655	116.095343	39.752803	70	3.5156808
flowC.0	2015-09-13 11:38:12.705655	116.095386	39.752441	70	3.456
flowD.0	2015-09-13 11:38:12.705655	116.095068	39.752166	70	2.3006232
flowE.0	2015-09-13 11:38:12.705655	116.09461	39.752061	70	2.9666772
flowA.0	2015-09-13 11:38:13.705655	116.094998	39.753036	70	3.0779316
flowB.0	2015-09-13 11:38:13.705655	116.095348	39.752796	70	3.2177412
flowC.0	2015-09-13 11:38:13.705655	116.095382	39.752436	70	2.3783796
flowD.0	2015-09-13 11:38:13.705655	116.095059	39.752163	70	2.838204
flowE.0	2015-09-13 11:38:13.705655	116.094602	39.752061	70	2.4927912
flowA.0	2015-09-13 11:38:14.705655	116.095006	39.753033	70	2.89845
flowB.0	2015-09-13 11:38:14.705655	116.095351	39.75279	70	2.6769204
flowC.0	2015-09-13 11:38:14.705655	116.095379	39.752431	70	2.1140424
flowD.0	2015-09-13 11:38:14.705655	116.095052	39.75216	70	2.5469712
flowE.0	2015-09-13 11:38:14.705655	116.094592	39.752061	70	2.8490832
flowA.0	2015-09-13 11:38:15.705655	116.095015	39.75303	70	2.9426832
flowB.0	2015-09-13 11:38:15.705655	116.095354	39.752786	70	1.8417204
flowC.0	2015-09-13 11:38:15.705655	116.095374	39.752423	70	3.5570772
